zone,woreda,epi_year,epi_week,popul_tot,tot_case,mal_case,rdt_pfm,rdt_pv,bf_pfm,bf_pv
West Gojjam,Mecha,2015,40,377231.9516,3186,48,2,6,20,20
West Gojjam,Mecha,2015,41,377231.9516,3434,61,28,4,16,13
West Gojjam,Mecha,2015,42,377231.9516,3481,42,19,7,9,7
West Gojjam,Mecha,2015,43,377231.9516,3634,39,5,10,9,15
West Gojjam,Mecha,2015,44,377231.9516,3414,32,8,9,8,7
West Gojjam,Mecha,2015,45,377231.9516,3395,43,17,5,8,13
West Gojjam,Mecha,2015,46,377231.9516,3724,39,13,7,10,9
West Gojjam,Mecha,2015,47,377231.9516,3483,43,22,5,14,2
West Gojjam,Mecha,2015,48,377231.9516,3643,50,19,5,13,13
West Gojjam,Mecha,2015,49,377231.9516,3324,53,23,13,7,10
West Gojjam,Mecha,2015,50,377231.9516,3013,50,21,9,10,10
West Gojjam,Mecha,2015,51,377231.9516,2509,32,18,6,2,6
West Gojjam,Mecha,2015,52,377231.9516,2242,26,10,6,5,5
West Gojjam,Mecha,2015,53,377231.9516,2682,31,14,4,7,6
West Gojjam,Mecha,2016,1,377231.9516,2057,22,7,2,4,9
West Gojjam,Mecha,2016,2,377231.9516,3442,27,11,8,2,6
West Gojjam,Mecha,2016,3,377231.9516,2971,18,3,2,6,7
West Gojjam,Mecha,2016,4,377231.9516,3366,15,1,1,4,9
West Gojjam,Mecha,2016,5,377231.9516,3714,18,3,5,2,8
West Gojjam,Mecha,2016,6,377231.9516,3693,10,0,3,2,5
West Gojjam,Mecha,2016,7,377231.9516,4264,23,4,9,6,4
West Gojjam,Mecha,2016,8,377231.9516,4156,21,4,4,6,7
West Gojjam,Mecha,2016,9,377231.9516,4852,30,7,11,4,8
West Gojjam,Mecha,2016,10,377231.9516,5878,24,6,6,4,8
West Gojjam,Mecha,2016,11,377231.9516,5710,13,1,7,2,3
West Gojjam,Mecha,2016,12,377231.9516,5814,20,4,5,5,6
West Gojjam,Mecha,2016,13,377231.9516,5568,22,9,7,2,4
West Gojjam,Mecha,2016,14,377231.9516,5159,19,3,7,4,5
West Gojjam,Mecha,2016,15,377231.9516,5650,14,0,3,2,9
West Gojjam,Mecha,2016,16,377231.9516,4706,7,2,1,3,1
West Gojjam,Mecha,2016,17,377231.9516,7628,16,2,4,3,7
West Gojjam,Mecha,2016,18,377231.9516,3469,9,1,0,2,6
West Gojjam,Mecha,2016,19,377231.9516,4650,34,15,3,8,8
West Gojjam,Mecha,2016,20,377231.9516,4936,44,14,4,15,11
West Gojjam,Mecha,2016,21,377231.9516,4827,34,5,5,11,13
West Gojjam,Mecha,2016,22,377231.9516,5713,65,16,7,17,25
West Gojjam,Mecha,2016,23,377231.9516,5910,78,10,7,26,35
West Gojjam,Mecha,2016,24,377231.9516,5029,45,2,9,11,23
West Gojjam,Mecha,2016,25,377231.9516,4798,55,0,6,22,27
West Gojjam,Mecha,2016,26,377231.9516,5226,26,0,6,13,7
West Gojjam,Mecha,2016,27,377231.9516,4262,16,6,3,5,2
West Gojjam,Mecha,2016,28,384022.1267,4025,22,5,3,6,8
West Gojjam,Mecha,2016,29,384022.1267,4501,18,1,4,10,3
West Gojjam,Mecha,2016,30,384022.1267,4096,20,7,5,5,3
West Gojjam,Mecha,2016,31,384022.1267,4307,15,6,1,5,3
West Gojjam,Mecha,2016,32,384022.1267,3717,19,8,1,8,2
West Gojjam,Mecha,2016,33,384022.1267,4685,25,7,1,10,7
West Gojjam,Mecha,2016,34,384022.1267,3486,23,8,0,10,5
West Gojjam,Mecha,2016,35,384022.1267,4773,54,25,11,13,5
West Gojjam,Mecha,2016,36,384022.1267,4218,38,26,5,7,0
West Gojjam,Mecha,2016,37,384022.1267,4218,38,26,5,7,0
West Gojjam,Mecha,2016,38,384022.1267,4835,125,80,13,25,7
West Gojjam,Mecha,2016,39,384022.1267,4019,71,40,12,11,8
West Gojjam,Mecha,2016,40,384022.1267,4939,6,1,2,2,1
West Gojjam,Mecha,2016,41,384022.1267,4839,46,21,14,8,3
West Gojjam,Mecha,2016,42,384022.1267,4815,32,10,9,8,5
West Gojjam,Mecha,2016,43,384022.1267,4982,40,12,10,11,7
West Gojjam,Mecha,2016,44,384022.1267,5436,36,8,1,21,6
West Gojjam,Mecha,2016,45,384022.1267,5274,45,13,6,13,13
West Gojjam,Mecha,2016,46,384022.1267,4830,26,12,2,10,2
West Gojjam,Mecha,2016,47,384022.1267,5210,31,9,8,9,5
West Gojjam,Mecha,2016,48,384022.1267,5368,16,3,5,5,3
West Gojjam,Mecha,2016,49,384022.1267,5364,24,7,7,6,4
West Gojjam,Mecha,2016,50,384022.1267,3180,11,1,2,5,3
West Gojjam,Mecha,2016,51,384022.1267,2823,13,3,7,2,1
West Gojjam,Mecha,2016,52,384022.1267,2551,12,2,5,2,3
